female,local,USA,SA,EU,MEA,ASIA,businessmen,tourists,DR,agency,AC,u20,20to35,35to55,m55,price,LoS,occupancy,conventions
24.12785388,71.93150685,5.347031963,0,16.21004566,0.305936073,6.579908676,80.98630137,19.01369863,71.59817352,18.93150685,9.470319635,2.639269406,29.58447489,46.456621,21.3196347,,,73,
22.83760684,48.73076923,14.00854701,4.504273504,21.47863248,6.051282051,5.226495726,86.01282051,13.98717949,70.44444444,23.45299145,6.102564103,1.670940171,28.54700855,52.2008547,17.58119658,,,78,
20,45.92307692,13.18269231,3.673076923,26.54807692,3.673076923,7,79.14423077,20.85576923,71.70192308,22.02884615,6.269230769,1.730769231,26,53.26923077,19,,,69.33333333,
31.33333333,65.70666667,7.182222222,4.906666667,18.51111111,0.653333333,3.04,84.47111111,15.52888889,68.32444444,21.98666667,9.688888889,3.551111111,27.92,48.38666667,20.14222222,,,75,
